CO_PROCEDIMENTO,NO_PROCEDIMENTO
0102010242,ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES
0102010250,CADASTRO DE HOSPITAIS
0102010269,LICENCIAMENTO SANITÁRIO DE HOSPITAIS
0102010277,CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
0102010285,INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
0102010293,LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
0102010307,CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS
0102010315,INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS
0102010323,LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS
0102010331,CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA
0102010340,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.
0102010358,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA
0102010366,CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
0102010374,INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
0102010382,LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
0102010390,CADASTRO DE SERVIÇOS DE HEMOTERAPIA
0102010404,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA
0102010412,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA
0102010420,CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
0102010439,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
0102010447,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
0102010455,CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO
0102010463,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO
0102010471,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO
0102010480,"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS"
0102010498,LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA
0102010501,"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO"
0102010510,"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETOR REGULADO E A POPULAÇÃO"
0102010528,INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO
0102010536,CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO
0102010544,CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS
0102010552,CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE
0102010560,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS
0102010579,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE
0102010587,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS
0102010595,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS
0102010609,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE
0102010617,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA
0102010625,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA
0102010633,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA
0102010641,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS
0102010650,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS
0102010668,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE
0102020019,VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES
0102020027,ATIVIDADE DE EDUCAÇÃO EM SAÚDE DO TRABALHADOR
0102020035,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR
0102020043,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR PARA AVALIAÇÃO DE CUMPRIMENTO DE RECOMENDAÇÕES
0102020051,BUSCA ATIVA DE CASOS SUSPEITOS DE DOENÇAS OU AGRAVOS RELACIONADOS AO TRABALHO
0102020060,APOIO INSTITUCIONAL DE VIGILÂNCIA EM SAÚDE DO TRABALHADOR (VISAT) PARA A REDE DE ATENÇÃO À SAÚDE
0102020078,ATIVIDADES COM GRUPOS NA TEMÁTICA DE SAÚDE DO TRABALHADOR
0102020086,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR PARA MAPEAMENTO DE RISCOS OCUPACIONAIS
0102020094,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR PARA INVESTIGAÇÃO DE ACIDENTE DE TRABALHO
0102020108,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR PARA SUBSIDIAR ESTABELECIMENTO DA RELAÇÃO ENTRE DOENÇAS E AGRAVOS COM O TRABALHO
0102020116,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR PARA INVESTIGAÇÃO DE SURTOS/EVENTOS INUSITADOS RELACIONADOS AO TRABALHO
0102020124,AÇÕES DE ARTICULAÇÃO COM CONTROLE SOCIAL E REPRESENTANTES DE TRABALHADORES
0102020132,AÇÕES INTER E INTRASSETORIAIS DE SAÚDE DO TRABALHADOR
0102020140,VIGILÂNCIA EM SAÚDE DO TRABALHADOR NAS EMERGÊNCIAS EM SAÚDE PÚBLICA
0201010011,AMNIOCENTESE
0201010020,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE
0201010038,BIOPSIA CIRURGICA DE TIREOIDE
0201010046,BIOPSIA DE ANUS E CANAL ANAL
0201010054,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO
0201010062,BIOPSIA DE BEXIGA
0201010070,BIOPSIA DE BOLSA ESCROTAL
0201010089,BIOPSIA DE CONDUTO AUDITIVO EXTERNO
0201010097,BIOPSIA DE CONJUNTIVA
0201010100,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)
0201010119,BIOPSIA DE CORNEA
0201010127,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO
0201010135,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)
0201010143,BIOPSIA DE ENDOCARDIO / MIOCARDIO
0201010151,BIOPSIA DE ENDOMETRIO
0201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA
0201010178,BIOPSIA DE EPIDIDIMO
0201010186,BIOPSIA DE ESCLERA
0201010194,BIOPSIA DE FARINGE/LARINGE
0201010208,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO
0201010216,BIOPSIA DE FIGADO POR PUNCAO
0201010224,BIOPSIA DE GANGLIO LINFATICO
0201010232,BIÓPSIA DE GLÂNDULA SALIVAR
0201010240,"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR"
0201010259,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)
0201010267,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)
0201010275,BIOPSIA DE MEDULA OSSEA
0201010283,BIOPSIA DE MUSCULO (A CEU ABERTO)
0201010291,BIOPSIA DE NERVO
0201010305,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)
0201010313,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)
0201010321,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)
0201010330,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)
0201010348,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE
0201010356,BIOPSIA DE PALPEBRA
0201010364,BIOPSIA DE PAVILHAO AURICULAR
0201010372,BIOPSIA DE PELE E PARTES MOLES
0201010380,BIOPSIA DE PENIS
0201010399,BIOPSIA DE PIRAMIDE NASAL
0201010402,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA)
0201010410,BIÓPSIA DE PRÓSTATA
0201010429,BIOPSIA DE PULMAO POR ASPIRACAO
0201010437,BIOPSIA DE RIM POR PUNCAO
0201010445,BIOPSIA DE SEIO PARANASAL
0201010453,BIOPSIA DE SINÓVIA
0201010461,BIOPSIA DE TESTICULO
0201010470,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF
0201010488,BIOPSIA DE URETER
0201010496,BIOPSIA DE URETRA
0201010500,BIOPSIA/PUNÇÃO DE VAGINA
0201010518,BIOPSIA/PUNÇÃO DE VULVA
0201010526,BIÓPSIA DOS TECIDOS MOLES DA BOCA
0201010534,BIOPSIA ESTEREOTAXICA
0201010542,BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X
0201010550,BIOPSIA PRÉ-ESCALÊNICA
0201010569,BIOPSIA/EXERESE DE NÓDULO DE MAMA
0201010585,PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA
0201010593,PUNÇÃO DE CISTERNA SUB-OCCIPITAL
0201010607,PUNÇÃO DE MAMA POR AGULHA GROSSA
0201010615,PUNÇÃO DE VAGINA
0201010623,PUNÇÃO EXPLORADORA DO DEFERENTE
0201010631,PUNÇÃO LOMBAR
0201010640,PUNÇÃO P/ ESVAZIAMENTO
0201010658,PUNÇÃO VENTRICULAR TRANSFONTANELA
0201010666,BIOPSIA DO COLO UTERINO
0201020017,COLETA DE LAVADO BRONCO-ALVEOLAR
0201020025,COLETA DE LINFA PARA PESQUISA DE M. LEPRAE
0201020033,COLETA DE MATERIAL DO COLO DE ÚTERO PARA EXAME CITOPATOLÓGICO
0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL
0201020050,COLETA DE SANGUE PARA TRIAGEM NEONATAL
0201020068,TIPIFICAÇÃO DO ALELO HLA-B
0201020076,COLETA DE MATERIAL DO COLO DO ÚTERO PARA EXAME MOLECULAR DE DETECÇÂO DE HPV
0201020084,"ENTREGA DE MATERIAL OBTIDO POR AUTO COLETA PARA EXAME MOLECULAR PARA DETECÇÃO DE HPV, NO COLO DO ÚTERO."
0202010015,CLEARANCE OSMOLAR
0202010023,DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO
0202010031,DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS
0202010040,DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)
0202010058,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)
0202010066,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)
0202010074,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)
0202010082,DETERMINACAO DE OSMOLARIDADE
0202010090,DOSAGEM DE 5-NUCLEOTIDASE
0202010104,DOSAGEM DE ACETONA
0202010112,DOSAGEM DE ACIDO ASCORBICO
0202010120,DOSAGEM DE ACIDO URICO
0202010139,DOSAGEM DE ACIDO VANILMANDELICO
0202010147,DOSAGEM DE ALDOLASE
0202010155,DOSAGEM DE ALFA-1-ANTITRIPSINA
0202010163,DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA
0202010171,DOSAGEM DE ALFA-2-MACROGLOBULINA
0202010180,DOSAGEM DE AMILASE
0202010198,DOSAGEM DE AMONIA
0202010201,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES
0202010210,DOSAGEM DE CALCIO
0202010228,DOSAGEM DE CALCIO IONIZAVEL
0202010236,DOSAGEM DE CAROTENO
0202010244,DOSAGEM DE CATECOLAMINAS
0202010252,DOSAGEM DE CERULOPLASMINA
0202010260,DOSAGEM DE CLORETO
0202010279,DOSAGEM DE COLESTEROL HDL
0202010287,DOSAGEM DE COLESTEROL LDL
0202010295,DOSAGEM DE COLESTEROL TOTAL
0202010309,DOSAGEM DE COLINESTERASE
0202010317,DOSAGEM DE CREATININA
0202010325,DOSAGEM DE CREATINOFOSFOQUINASE (CPK)
0202010333,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB
0202010341,DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA
0202010350,DOSAGEM DE DESIDROGENASE GLUTAMICA
0202010368,DOSAGEM DE DESIDROGENASE LATICA
0202010376,DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)
0202010384,DOSAGEM DE FERRITINA
0202010392,DOSAGEM DE FERRO SERICO
0202010406,DOSAGEM DE FOLATO
0202010414,DOSAGEM DE FOSFATASE ACIDA TOTAL
0202010422,DOSAGEM DE FOSFATASE ALCALINA
0202010430,DOSAGEM DE FOSFORO
0202010449,DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA
0202010457,DOSAGEM DE GALACTOSE
0202010465,DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)
0202010473,DOSAGEM DE GLICOSE
0202010481,DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE
0202010490,DOSAGEM DE HAPTOGLOBINA
0202010503,DOSAGEM DE HEMOGLOBINA GLICOSILADA
0202010511,DOSAGEM DE HIDROXIPROLINA
0202010520,DOSAGEM DE ISOMERASE-FOSFOHEXOSE
0202010538,DOSAGEM DE LACTATO
0202010546,DOSAGEM DE LEUCINO-AMINOPEPTIDASE
0202010554,DOSAGEM DE LIPASE
0202010562,DOSAGEM DE MAGNESIO
0202010570,DOSAGEM DE MUCO-PROTEINAS
0202010589,DOSAGEM DE PIRUVATO
0202010597,DOSAGEM DE PORFIRINAS
0202010600,DOSAGEM DE POTASSIO
0202010619,DOSAGEM DE PROTEINAS TOTAIS
0202010627,DOSAGEM DE PROTEINAS TOTAIS E FRACOES
0202010635,DOSAGEM DE SODIO
0202010643,DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)
0202010651,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)
0202010660,DOSAGEM DE TRANSFERRINA
0202010678,DOSAGEM DE TRIGLICERIDEOS
0202010686,DOSAGEM DE TRIPTOFANO
0202010694,DOSAGEM DE UREIA
0202010708,DOSAGEM DE VITAMINA B12
0202010716,ELETROFORESE DE LIPOPROTEINAS
0202010724,ELETROFORESE DE PROTEINAS
0202010732,GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )
0202010740,PROVA DA D-XILOSE
0202010759,TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS
0202010767,DOSAGEM DE 25 HIDROXIVITAMINA D
0202010775,DETERMINAÇÃO DE CREMATÓCRITO NO LEITE HUMANO ORDENHADO
0202010783,ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC)
0202010791,DOSAGEM DE PEPTÍDEOS NATRIURÉTICOS TIPO B (BNP E NT-PROBNP)
0202020010,CITOQUIMICA HEMATOLOGICA
0202020029,CONTAGEM DE PLAQUETAS
0202020037,CONTAGEM DE RETICULOCITOS
0202020045,DETERMINAÇÃO DE CURVA DE RESISTÊNCIA GLOBULAR
0202020053,DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)
0202020061,DETERMINAÇÃO DE SULFO-HEMOGLOBINA
0202020070,DETERMINAÇÃO DE TEMPO DE COAGULAÇÃO
0202020088,DETERMINAÇÃO DE TEMPO DE LISE DA EUGLOBULINA
0202020096,DETERMINAÇÃO DE TEMPO DE SANGRAMENTO -DUKE
0202020100,DETERMINAÇÃO DE TEMPO DE SANGRAMENTO DE IVY
0202020118,DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS
0202020126,DETERMINAÇÃO DE TEMPO DE TROMBINA
0202020134,DETERMINAÇÃO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)
0202020142,DETERMINAÇÃO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)
0202020150,DETERMINAÇÃO DE VELOCIDADE DE HEMOSSEDIMENTAÇÃO (VHS)
0202020169,DOSAGEM DE ANTICOAGULANTE CIRCULANTE
0202020177,DOSAGEM DE ANTITROMBINA III
0202020185,DOSAGEM DE FATOR II
0202020193,DOSAGEM DE FATOR IX
0202020207,DOSAGEM DE FATOR V
0202020215,DOSAGEM DE FATOR VII
0202020223,DOSAGEM DE FATOR VIII
0202020231,DOSAGEM DE FATOR VIII (INIBIDOR)
0202020240,DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)
0202020258,DOSAGEM DE FATOR X
0202020266,DOSAGEM DE FATOR XI
0202020274,DOSAGEM DE FATOR XII
0202020282,DOSAGEM DE FATOR XIII
0202020290,DOSAGEM DE FIBRINOGENIO
0202020304,DOSAGEM DE HEMOGLOBINA
0202020312,DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC
0202020320,DOSAGEM DE HEMOGLOBINA FETAL
0202020339,DOSAGEM DE HEMOSSIDERINA
0202020347,DOSAGEM DE PLASMINOGENIO
0202020355,ELETROFORESE DE HEMOGLOBINA
0202020363,"ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)"
0202020371,HEMATOCRITO
0202020380,HEMOGRAMA COMPLETO
0202020398,LEUCOGRAMA
0202020401,PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA
0202020410,PESQUISA DE CELULAS LE
0202020428,PESQUISA DE CORPUSCULOS DE HEINZ
0202020436,PESQUISA DE FILARIA
0202020444,PESQUISA DE HEMOGLOBINA S
0202020452,PESQUISA DE PLASMODIOS POR GOTA ESPESSA E ESFREGAÇO
0202020460,PESQUISA DE TRIPANOSSOMA
0202020479,"PROVA DE COMPATIBILIDADE PRE-TRANSFUSIONAL (MEIOS SALINOS, ALBUMINOSO E COOMBS)"
0202020487,PROVA DE CONSUMO DE PROTROMBINA
0202020495,PROVA DE RETRACAO DO COAGULO
0202020509,PROVA DO LACO
0202020517,RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS
0202020525,TESTE DE AGREGACAO DE PLAQUETAS
0202020533,TESTE DE HAM (HEMOLISE ACIDA)
0202020541,TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)
0202020550,DOSAGEM DE PROTEINA C FUNCIONAL
0202020568,DOSAGEM DE PROTEINA S FUNCIONAL
0202020576,PESQUISA DE ANTICOAGULANTE LÚPICO
0202030016,CONTAGEM DE LINFOCITOS B
0202030024,CONTAGEM DE LINFOCITOS CD4/CD8
0202030032,CONTAGEM DE LINFOCITOS T TOTAIS
0202030040,DETECÇÃO DE ÁCIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)
0202030059,DETECÇÃO DE RNA DO VÍRUS DA HEPATITE C (QUALITATIVO)
0202030067,DETERMINAÇÃO DE COMPLEMENTO (CH50)
0202030075,DETERMINAÇÃO DE FATOR REUMATOIDE
0202030083,DETERMINAÇÃO QUANTITATIVA DE PROTEÍNA C REATIVA
0202030091,DOSAGEM DE ALFA-FETOPROTEINA
0202030105,DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)
0202030113,DOSAGEM DE BETA-2-MICROGLOBULINA
0202030121,DOSAGEM DE COMPLEMENTO C3
0202030130,DOSAGEM DE COMPLEMENTO C4
0202030148,DOSAGEM DE CRIOAGLUTININA
0202030156,DOSAGEM DE IMUNOGLOBULINA A (IGA)
0202030164,DOSAGEM DE IMUNOGLOBULINA E (IGE)
0202030172,DOSAGEM DE IMUNOGLOBULINA G (IGG)
0202030180,DOSAGEM DE IMUNOGLOBULINA M (IGM)
0202030199,DOSAGEM DE INIBIDOR DE C1-ESTERASE
0202030202,DOSAGEM DE PROTEINA C REATIVA
0202030229,IMUNOELETROFORESE DE PROTEINAS
0202030237,IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)
0202030245,INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD)
0202030253,PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA
0202030261,PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA
0202030270,PESQUISA DE ANTICORPOS ANTI-DNA
0202030288,PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI
0202030296,PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT)
0202030300,PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)
0202030318,PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2
0202030326,PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)
0202030334,PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS
0202030342,PESQUISA DE ANTICORPOS ANTI-SM
0202030350,PESQUISA DE ANTICORPOS ANTI-SS-A (RO)
0202030369,PESQUISA DE ANTICORPOS ANTI-SS-B (LA)
0202030377,PESQUISA DE ANTICORPOS ANTIADENOVIRUS
0202030385,PESQUISA DE ANTICORPOS ANTIAMEBAS
0202030393,PESQUISA DE ANTICORPOS ANTIASPERGILLUS
0202030407,PESQUISA DE ANTICORPOS ANTIBRUCELAS
0202030415,PESQUISA DE ANTICORPOS ANTICISTICERCO
