Codigo,Descricao,ValorTUNEP
31703038,CISTECTOMIA TOTAL,"4.675,44"
31703054,PROSTATECTOMIA,"4.497,50"
31704026,URETENOCISTONEOSTOMIA,"4.491,71"
31704034,CISTECTOMIA TOTAL E DERIVACAO EM UM SO TEMPO,"4.739,53"
31704050,PROSTATOVESICULECTOMIA,"4.799,95"
31704077,ORQUIECTOMIA UNILATERAL,"741,83"
31704085,EPIDIDIMECTOMIA COM ESVAZIAMENTO GANGLIONAR,"927,18"
31705030,CISTOENTEROPLASTIA,"4.764,34"
31705073,ORQUIECTOMIA COM ESVAZIAMENTO GANGLIONAR,"1.301,51"
31707017,NEFRECTOMIA TOTAL,"1.589,56"
31707025,URETEROENTEROSTOMIA,"4.609,41"
31709010,NEFROPIELOSTOMIA,"1.589,56"
31712010,NEFROURETERECTOMIA TOTAL,"1.636,28"
31719031,RESSECCAO DO COLO VESICAL A CEU ABERTO,"1.589,56"
31720030,RESSECCAO DO TUMOR VESICAL A CEU ABERTO,"1.589,56"
31723039,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL,"1.020,45"
31800017,NEFROURETETECTOMIA UNILATERAL PARA TRANSPLANTE,"3.716,30"
31802010,TRANSPLANTE RENAL RECEPTOR (DOADOR VIVO),"14.828,17"
31805019,TRANSPLANTE RENAL RECEPTOR - DOADOR CADAVER,"19.272,75"
32002033,BIOPSIA DO CONDUTO LINFATICO,"365,69"
32003030,EXERESE DE GANGLIO LINFATICO,"342,70"
32004036,INCISAO E DRENAGEM DE GANGLIO LINFATICO,"256,80"
32005032,LINFADENECTOMIA RADICAL AXILAR UNILATERAL,"1.797,94"
32006039,LINFADENECTOMIA RADICAL AXILAR BILATERAL,"1.835,25"
32007035,LINFADENECTOMIA RADICAL INGUINAL UNILATERAL,"1.156,24"
32008031,LINFADENECTOMIA RADICAL INGUINAL BILATERAL,"1.448,25"
32009038,LINFADENECTOMIA RADICAL CERVICAL UNILATERAL,"814,64"
32010036,LINFADENECTOMIA RADICAL CERVICAL BILATERAL,"747,59"
32010044,BIOPSIA DE ARTERIA TEMPORAL,"1.321,90"
32011032,LINFADENECTOMIA RADICAL VULVAR,"1.156,24"
32012039,DISSECCAO RADICAL DO PESCOCO,"1.835,25"
32013035,BIOPSIA PRE-ESCALENICA,"365,69"
32015038,LINFADENECTOMIA RETROPERITONIAL,"1.651,81"
32034016,CORRECAO CIRURGICA DA CARDIOPATIA CONGENITA - EXCL,"7.446,65"
32042043,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA EXTERNA,"733,60"
32043040,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA EXTERNA,"1.034,93"
32044046,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA INTERNA U,"733,60"
32045042,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA INTERNA B,"1.034,93"
32046049,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA INTERNA E,"733,60"
32047045,TRATAMENTO CIRURGICO DE VARIZES DA SAFENA INTERNA E,"1.034,93"
32705034,LINFADENECTOMIA RADICAL AXILAR UNILATERAL,"1.823,60"
32706030,LINFADENECTOMIA RADICAL AXILAR BILATERAL,"1.892,37"
32707037,LINFADENECTOMIA RADICAL INGUINAL UNILATERAL,"1.301,51"
32708033,LINFADENECTOMIA RADICAL INGUINAL BILATERAL,"1.465,77"
32709030,LINFADENECTOMIA RADICAL CERVICAL UNILATERAL,"1.301,51"
32710038,LINFADENECTOMIA RADICAL CERVICAL BILATERAL,"1.301,51"
32711034,LINFADENECTOMIA RADICAL VULVAR,"1.301,51"
32712030,LINFADENECTOMIA SUPRACLAVICULAR UNILATERAL,"1.301,51"
32713037,LINFADENECTOMIA SUPRACLAVICULAR BILATERAL,"1.301,51"
32714033,LINFADENECTOMIA TRONCO CELIACO,"4.621,45"
32715030,LINFADENECTOMIA RETROPERITONIAL,"4.679,20"
32716036,LINFADENECTOMIA ILEO LOMBAR,"4.679,20"
32717032,BIOPSIAS MULTIPLAS PARA AVALIACAO DE EXTENSAO DE DO,"4.948,72"
32718039,LINFADENECTOMIA PELVICA,"1.392,85"
32719035,LINFADENECTOMIA RETROPERITONIAL,"1.673,09"
33000000,CIRURGIA MULTIPLA EM PACIENTE COM LESAO LABIO PALATA,"0,00"
33001030,GLOSSECTOMIA PARCIAL,"857,10"
33001049,CARDIOPLASTIA,"2.357,64"
33001057,BIOPSIA DO ESTOMAGO VIA LAPAROTOMIA,"362,20"
33001081,ANASTOMOSE BILEO DIGESTIVA,"2.607,57"
33001090,PANCREATO DUODENECTOMIA,"3.263,89"
33002045,DIVERTICULECTOMIA DO ESOFAGO,"1.569,34"
33002053,FECHAMENTO DE FISTULA GASTRO ENTERICA (DESGASTREC,"2.217,82"
33002061,AMPUTACAO ABDOMINO PERINEAL DO RETO (COMPLETA),"2.936,88"
33002070,ESFINCTEROPLASTIA ANAL,"558,54"
33002096,PANCREATO ENTEROSTOMIA,"2.198,55"
33002118,DRENAGEM DE ABSCESSO SUBFRENICO,"1.383,65"
33003025,EXCISAO DE GLANDULA SUBMAXILAR,"789,92"
33003041,ESOFAGECTOMIA,"2.357,64"
33003050,FECHAMENTO DE GASTROSTOMIA,"1.110,22"
33003068,PROCTOCOLECTOMIA,"3.110,47"
33003076,ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA AN,"558,54"
33003084,COLECISTOSTOMIA,"1.092,78"
33003092,PANCREATOTOMIA PARA DRENAGEM,"1.679,25"
33003106,ESPLENECTOMIA,"1.644,01"
33003114,HERNIORRAFIA COM RESSECCAO INTESTINAL (ESTRANGULA,"1.184,60"
33004021,EXCISAO DE RANULA,"342,85"
33004030,GLOSSECTOMIA TOTAL,"1.275,96"
33004048,ESOFAGOCOLOPLASTIA,"2.381,03"
33004056,GASTRECTOMIA SUBTOTAL COM OU SEM VAGOTOMIA,"1.536,55"
33004064,AMPUTACAO DO RETO POR PROCIDENCIA,"2.248,05"
33004072,EXERESE DE MALFORMACAO ANAL,"378,75"
33004080,COLECISTECTOMIA,"1.396,45"
33004099,PANCREATECTOMIA PARCIAL,"1.911,98"
33004110,HERNIORRAFIA SEM RESSECCAO INTESTINAL (ESTRANGULAD,"910,04"
33005010,RESSECCAO DE LESAO MALIGNA COM ESVAZIAMENTO GANG,"1.838,18"
33005028,EXCISAO DE TUMOR DE GLANDULA PAROTIDA,"936,10"
33005044,ESOFAGOGASTRECTOMIA,"2.357,64"
33005052,GASTRECTOMIA TOTAL,"1.883,07"
33005060,APENDICECTOMIA,"1.097,86"
33005087,COLEDOCOPLASTIA,"1.622,18"
33005095,TRATAMENTO CIRURGICO DE CISTOS PANCREATICOS,"2.013,87"
33005117,HERNIORRAFIA CRURAL (UNILATERAL),"725,17"
33006016,RESSECCAO DE LESAO MALIGNA DA BOCA,"936,10"
33006032,RESSECCAO DE LESAO BENIGNA DA BOCA,"327,64"
33006040,ESOFAGOPLASTIA (QUALQUER TECNICA),"2.070,74"
33006059,GASTRORRAFIA,"1.075,94"
33006067,COLECTOMIA PARCIAL (HEMICOLECTOMIA),"2.036,28"
33006083,COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA,"1.317,15"
33006113,HERNIORRAFIA CRURAL (BILATERAL),"964,92"
33007020,EXCISAO DE GLANDULA SALIVAR,"936,10"
33007047,ESOFAGORRAFIA CERVICAL,"1.342,06"
33007055,GASTROENTEROANASTOMOSE,"1.497,98"
33007063,COLECTOMIA TOTAL,"2.290,28"
33007071,FISTULECTOMIA OU FISTULOTOMIA ANAL,"564,85"
33007080,COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA,"1.317,15"
33007110,HERNIORRAFIA DIAFRAGMATICA (VIA TORACICA),"1.595,54"
33008043,ESOFAGORRAFIA TORACICA,"1.569,34"
33008060,ENTEROANASTOMOSE (QUALQUER SEGMENTO),"1.380,67"
33008078,INCISAO E DRENAGEM DE ABSCESSO ANAL,"329,54"
33008116,HERNIORRAFIA DIAFRAGMATICA (VIA ABDOMINAL),"1.341,24"
33009023,FECHAMENTO DE FISTULA SALIVAR COM RETALHO,"870,98"
33009058,GASTROSTOMIA,"1.110,22"
33009066,ENTEROPEXIA (QUALQUER SEGMENTO),"1.299,69"
33009082,BIOPSIA DO FIGADO POR LAPAROTOMIA,"362,20"
33009112,HERNIORRAFIA EPIGASTRICA,"725,17"
33010021,INCISAO E DRENAGEM DE ABSCESSO DA PAROTIDA,"299,42"
33010064,ENTERORRAFIA (QUALQUER SEGMENTO),"1.299,69"
33010072,PLASTICA ANAL EXTERNA,"530,71"
33010080,HEPATECTOMIA PARCIAL,"1.912,25"
33010099,PANCREATECTOMIA VIDEOLAPAROSCOPICA,"1.792,35"
33010110,HERNIORRAFIA INCISIONAL,"1.057,18"
33011052,PILOROPLASTIA COM OU SEM VAGOTOMIA,"1.288,03"
33011060,COLOTOMIA,"1.474,67"
33011087,HEPATOTOMIA E DRENAGEM DE ABSCESSO OU CISTO,"1.419,05"
33011095,PANCREATOMIA PARA DRENAGEM POR VIDEOLAPAROSCOPIA,"1.559,62"
33011117,HERNIORRAFIA INGUINAL (UNILATERAL),"752,62"
33012059,VAGOTOMIA SELETIVA,"1.497,98"
33012067,ENTEROTOMIA (QUALQUER SEGMENTO),"1.299,69"
33012083,HEPATORRAFIA,"1.419,50"
33012113,HERNIORRAFIA INGUINAL (BILATERAL),"964,92"
33013020,PAROTIDECTOMIA,"1.296,98"
33013055,VAGOTOMIA SUPER SELETIVA,"1.498,38"
33013063,EXCISAO DE LESAO INTESTINAL OU MESENTERICA LOCALIZA,"1.341,98"
33013071,TRATAMENTO CIRURGICO DA IMPERFURACAO MEMBRANOSA,"564,85"
33013080,MARSUPIALIZACAO DE ABSCESSO OU CISTO,"1.688,40"
33013110,HERNIORRAFIA LOMBAR,"910,04"
33014043,ESOFAGOSTOMIA,"971,69"
33014060,TRATAMENTO CIRURGICO DA MA ROTACAO INTESTINAL,"1.513,12"
33014078,TRATAMENTO CIRURGICO DO PROLAPSO ANAL MUCOSO,"564,85"
33014116,HERNIORRAFIA RECIDIVANTE,"964,92"
33015040,TRATAMENTO CIRURGICO DO MEGA-ESOFAGO,"2.357,64"
33015058,GASTRORRAFIA VIDEOLAPAROSCOPICA,"1.305,52"
33015066,JEJUNOSTOMIA,"1.158,39"
33015082,COLECISTECTOMIA VIDEOLAPAROSCOPICA,"1.626,01"
33015112,HERNIORRAFIA UMBILICAL,"711,47"
33016046,TRATAMENTO CIRURGICO DE VARIZES ESOFAGIANAS,"1.681,78"
33016054,GASTROSTOMIA VIDEOLAPAROSCOPICA,"1.339,80"
33016062,EXCISAO DE TUMOR RETAL PER ANUS,"459,82"
33016070,EXCISAO DE LESAO ANAL,"217,47"
33016089,COLEDOCOTOMIA VIDEOLAPAROSCOPICA,"1.546,71"
33016119,LAPAROTOMIA EXPLORADORA,"1.127,64"
33017042,ESOFAGOPLASTIA COM COLOCACAO DE PROTESE OU TUBO,"2.070,74"
33017050,VAGOTOMIA VIDEOLAPAROSCOPICA,"1.552,95"
33017069,FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO),"1.247,58"
33017077,CRIPTECTOMIA UNI OU MULTIPLA,"378,75"
33018057,GASTRECTOMIA VIDEOLAPAROSCOPICA,"1.938,03"
33018065,FECHAMENTO DE FISTULA COLICA,"1.380,67"
33018073,EXCISAO DE PAPILA HEMORROIDARIA,"132,56"
33019061,FECHAMENTO DE FISTULA RETAL,"707,47"
33020043,ESOFAGECTOMIA VIDEOLAPAROSCOPICA,"1.925,16"
33021040,HERNIOPLASTIA HIATAL (CARDIOPLASTIA) VIDEOLAPAROSCO,"1.545,01"
33021066,ENTERECTOMIA,"1.332,98"
33021112,RESSECCAO DO EPIPLOM,"1.238,20"
33022046,GASTROPLASTIA,"3.657,43"
33022062,RETOSSIGMOIDECTOMIA ABDOMINAL,"1.991,01"
33022070,OPERACAO DE THIERCH,"530,52"
33022119,RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTA,"910,04"
33023069,COLOSTOMIA,"1.158,39"
33023077,INCISAO E DRENAGEM DE ABSCESSO ISQUIORRETAL,"341,81"
33023115,REPARACAO OUTRAS HERNIAS (INCLUI HERNIORRAFIA MUSC,"752,62"
33024065,LIBERACAO DE ADERENCIAS INTESTINAIS,"1.125,49"
33025061,REDUCAO CIRURGICA DE VOLVO POR LAPAROTOMIA,"1.158,39"
33025118,HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA,"1.184,65"
33026068,RETOSSIGMOIDECTOMIA ABDOMINO PERINEAL,"1.991,01"
33026076,RETIRADA DE FECALOMA,"417,53"
33026114,HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA,"941,02"
33027064,ILEOSTOMIAS,"1.158,39"
33027072,TRATAMENTO CIRURGICO DA TROMBOSE HEMORROIDARIA E,"313,48"
33027110,HERNIORRAFIA EPIGASTRICA VIDEOLAPAROSCOPICA,"954,72"
33028079,TRATAMENTO CIRURGICO DO ILEO MECONIAL,"1.444,98"
33028117,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/O,"1.422,78"
33029075,TRATAMENTO CIRURGICO DA PERITONITE MECONIAL,"1.444,98"
33029113,DRENAGEM DE HEMATOMA OU ABSCESSO RETRO RETAL,"1.193,22"
33030073,HEMORROIDECTOMIA,"564,85"
33030111,DRENAGEM DE HEMATOMA OU ABSCESSO PRE-PERITONEAL,"1.193,22"
33031118,PERITONIOSTOMIA COM TELA INORGANICA,"2.030,04"
33032114,DRENAGEM DE ABSCESSO PELVICO,"1.383,65"
33033064,TRATAMENTO CIRURGICO DE AUSENCIA DO RETO (OP. ABDO,"1.984,20"
33034060,COLORRAFIA POR VIA ABDOMINAL,"1.300,08"
33036063,PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO,"1.192,95"
33037060,DIVERTICULECTOMIA DOS INTESTINOS,"1.125,49"
33038066,CECOPEXIA,"1.299,69"
33039062,SIGMOIDOPEXIA,"1.299,69"
33040060,EXCISAO E DRENAGEM DE ABSCESSO SUB MUCOSO DO RETO,"417,53"
33041067,PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL,"707,66"
33044066,APENDICECTOMIA VIDEOLAPAROSCOPICA,"1.193,05"
33044074,TRATAMENTO CIRURGICO DA ATRESIA CONGENITA ANO RETA,"378,75"
33045062,ENTERORRAFIA VIDEOLAPAROSCOPICA,"1.354,63"
33045070,TRATAMENTO CIRURGICO DE OUTRAS ANOMALIAS CONGENIT,"378,75"
33046069,ENTERECTOMIA VIDEOLAPAROSCOPICA,"1.354,63"
33047065,COLOSTOMIA VIDEOLAPAROSCOPICA,"1.387,95"
33048061,JEJUNOSTOMIA VIDEOLAPAROSCOPICA,"1.387,95"
33049068,ILEOSTOMIAS VIDEOLAPAROSCOPICA,"1.387,95"
33050066,COLECTOMIA VIDEOLAPAROSCOPICA,"1.996,08"
33701032,GLOSSECTOMIA PARCIAL,"1.044,17"
33701083,ANASTOMOSE BILEO DIGESTIVA,"2.285,05"
33701091,PANCREATO DUODENECTOMIA,"4.942,21"
33701121,ESTADIAMENTO CIRURGICO DA DOENCA DE HODGKIN,"5.849,87"
33702020,EXCISAO DE GLANDULA SUBLINGUAL,"983,15"
33702063,AMPUTACAO ABDOMINO PERINEAL DO RETO,"4.986,84"
33702098,PANCREATO ENTEROSTOMIA,"1.844,03"
33702128,RESSECCAO MULTIPLA DE SEGMENTOS DO TUBO DIGESTIVO,"4.853,70"
33703027,EXCISAO DE GLANDULA SUBMAXILAR,"983,15"
33703043,ESOFAGECTOMIA,"4.746,86"
33703060,PROCTOCOLECTOMIA,"2.934,01"
33703108,ESPLENECTOMIA,"1.687,12"
33703124,RESSECCAO MULTIPLA DE SEGMENTO DO TUBO DIGESTIVO E,"6.010,99"
33704031,GLOSSECTOMIA TOTAL,"4.417,51"
33704040,ESOFAGOCOLOPLASTIA,"4.827,97"
33704090,PANCREATECTOMIA PARCIAL,"4.517,99"
33704120,RESSECCAO DE TUMOR RETROPERITONIAL COM RESSECCAO,"5.895,86"
33705011,RESSECCAO DE LESAO MALIGNA COM ESVAZIAMENTO GANG,"1.707,11"
33705020,EXCISAO DE TUMOR DE GLANDULA PAROTIDA,"1.696,39"
33705046,ESOFAGOGASTRECTOMIA,"4.781,86"
33705054,GASTRECTOMIA TOTAL,"4.746,60"
33706018,RESSECCAO DE LESAO MALIGNA,"1.244,14"
33706026,EXCISAO DE TUMOR DE GLANDULA SUBLINGUAL,"983,15"
33706069,COLECTOMIA PARCIAL ( HEMICOLECTOMIA ),"1.944,94"
33706085,COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA,"1.651,14"
33707022,EXCISAO DE TUMOR DE GLANDULA SUBMAXILAR,"983,15"
33707057,GASTROENTEROANASTOMOSE,"1.477,95"
33707065,COLECTOMIA TOTAL,"6.005,55"
33709050,GASTROSTOMIA,"1.073,30"
33710082,HEPATECTOMIA PARCIAL,"1.935,27"
33713022,PAROTIDECTOMIA,"1.346,50"
33714029,EXTIRPACAO DE GLANDULA SALIVAR,"983,15"
33716064,EXCISAO DE TUMOR RETAL PER ANUS,"741,83"
33722064,RETOSSIGMOIDECTOMIA ABDOMINAL,"4.543,56"
33723060,COLOSTOMIA,"1.744,91"
33726060,RETOSSIGMOIDECTOMIA ABDOMINO PERINEAL,"4.751,02"
34001018,BARTOLINECTOMIA,"742,04"
34001026,COLPECTOMIA,"805,12"
34001034,TRAQUELECTOMIA (AMPUTACAO CONIZACAO),"816,33"
34001042,SALPINGECTOMIA UNI OU BILATERAL,"1.013,10"
34001050,OOFORECTOMIA UNI OU BILATERAL,"1.067,76"
34002049,SALPINGOPLASTIA INCLUSIVE REIMPLANTACAO TUBARIA,"1.013,10"
34003029,COLPOCLEISE,"660,87"
34003045,SALPINGECTOMIA VIDEOLAPAROSCOPICA,"1.013,10"
34004025,COLPOPERINEOCLEISE,"482,86"
34004041,SALPINGOPLASTIA VIDEOLAPAROSCOPICA,"1.013,10"
34005013,MARSUPIALIZACAO DE GLANDULA DE BARTOLINI,"347,55"
34005021,COLPOPERINEORRAFIA NAO OBSTETRICA,"503,11"
34005030,CURETAGEM SEMIOTICA COM OU SEM DILATACAO DO COLO,"366,05"
34006010,VULVECTOMIA AMPLIADA COM LINFADENECTOMIA,"1.710,48"
34006028,COLPOPLASTIA ANTERIOR,"503,11"
34006036,TRAQUELOPLASTIA,"816,33"
34007016,VULVECTOMIA SIMPLES,"562,95"
34007024,COLPOPLASTIA POSTERIOR,"503,11"
34007032,OPERACAO DE LE FORT,"659,20"
34008012,TRATAMENTO CIRURGICO DA COAPTACAO DE NINFAS,"347,55"
34008020,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR,"822,90"
34008039,EXTIRPACAO DE POLIPO UTERINO,"366,05"
34009019,ALARGAMENTO DA ENTRADA VAGINAL,"347,55"
34009027,COLPOTOMIA,"465,48"
34009035,HISTERECTOMIA TOTAL AMPLIADA ( WERTHEIN-MEIGS ),"1.738,48"
34010017,EXERESE DE GLANDULA DE SKENE,"347,55"
34010025,TRATAMENTO CIRURGICO DA FISTULA URETRO VAGINAL,"1.216,77"
34010033,HISTERECTOMIA TOTAL,"1.518,50"
34011013,EPISIOPERINEORRAFIA NAO OBSTETRICA,"450,36"
34011021,TRATAMENTO CIRURGICO DA FISTULA RETO VAGINAL,"910,47"
34011030,HISTERECTOMIA SUBTOTAL,"1.280,45"
34012028,TRATAMENTO CIRURGICO DE FISTULA VESICO VAGINAL,"1.216,77"
34012036,MIOMECTOMIA,"1.072,15"
34013024,TRATAMENTO CIRURGICO DA INCONTINENCIA URINARIA POR,"988,47"
34013032,RESSECCAO DE VARIZES PELVICAS,"707,48"
34014020,CONSTRUCAO DE VAGINA,"1.304,40"
34014039,HISTERECTOMIA VAGINAL,"1.518,50"
34016023,RECONSTRUCAO DA VAGINA,"1.304,40"
34017038,HISTERECTOMIA COM ANEXECTOMIA UNI OU BILATERAL,"1.578,61"
34018026,TRATAMENTO CIRURGICO DA VAGINA SEPTADA OU ATRESICA,"1.329,95"
